id_dep;nome;deputado;partido;UF;tema_1;tema_2;tema_3;tema_4;tema_5;tema_6;tema_7;tema_8;tema_9;tema_10;tema_11;tema_12;tema_13;tema_14;tema_15;tema_16;tema_17;tema_18;tema_19;IMPEACHMENT;evangelico
160659;KeikoOta;Keiko Ota;psb;SP;não votou;não votou;não;sim;sim;sim;sim;sim;sim;não;não;sim;sim;sim;sim;sim;não;sim;sim;SIM;nao
151208;LaercioOliveira;Laercio Oliveira;solidaried;SE;sim;sim;sim;sim;sim;não votou;não votou;sim;sim;sim;sim;sim;sim;não;não;não votou;não votou;sim;não votou;SIM;sim
141478;LaerteBessa;Laerte Bessa;pr;DF;não;sim;sim;não votou;sim;sim;sim;sim;não votou;não;sim;sim;não;sim;sim;sim;não votou;sim;sim;SIM;nao
178894;LaudivioCarvalho;Laudivio Carvalho;pmdb;MG;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;não;sim;sim;sim;sim;SIM;nao
141480;LazaroBotelho;Lázaro Botelho;pp;TO;sim;não votou;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não votou;sim;sim;SIM;nao
178832;Leandre;Leandre;pv;PR;sim;sim;sim;sim;sim;sim;não;não;sim;não;não;sim;sim;não;não;sim;sim;sim;sim;SIM;nao
141562;LeloCoimbra;Lelo Coimbra;pmdb;ES;não;não;sim;sim;não;não;sim;não;sim;não;não votou;sim;sim;sim;não;sim;sim;sim;sim;SIM;nao
178825;LeodeBrito;Leo de Brito;pt;AC;não;não votou;sim;não;não;não;não;não;não;não;não;não;sim;sim;sim;sim;não;sim;não;NAO;nao
74156;LeonardoMonteiro;Leonardo Monteiro;pt;MG;não;sim;não votou;não;não;não;não;não;não;não;não;sim;sim;sim;sim;sim;não;sim;não;NAO;nao
74254;LeonardoPicciani;Leonardo Picciani;pmdb;RJ;não votou;não votou;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;não votou;sim;NAO;nao
141482;LeonardoQuintao;Leonardo Quintão;pmdb;MG;sim;não votou;sim;sim;sim;sim;sim;sim;sim;sim;não votou;sim;sim;sim;sim;sim;não;sim;sim;SIM;sim
74299;LeonidasCristino;Leônidas Cristino;pros;CE;sim;sim;sim;sim;não;não;sim;não;sim;não;sim;sim;não;sim;sim;sim;não;sim;sim;NAO;nao
160663;LeopoldoMeyer;Leopoldo Meyer;psb;PR;sim;não votou;sim;sim;não;não;não;não;sim;não;não;sim;sim;não;não;sim;não;sim;não votou;SIM;nao
74585;LincolnPortela;Lincoln Portela;pr;MG;abstenção;sim;sim;sim;sim;sim;sim;não;não;não;não;sim;sim;sim;não votou;não votou;não votou;sim;não votou;SIM;sim
178879;LucasVergilio;Lucas Vergilio;solidaried;GO;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;não;sim;sim;sim;sim;SIM;nao
160628;LucianaSantos;Luciana Santos;pcdob;PE;não;não votou;sim;não;não;não;não;não;não;sim;não;sim;sim;sim;sim;não;não;sim;não;NAO;nao
178931;LucianoDucci;Luciano Ducci;psb;PR;não;não votou;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;não;não;sim;não;sim;sim;SIM;nao
